# Metadata
# tracker: mediapipe_tracker
# num_cameras: 2
# num_landmarks: 33

frame,nose,left_eye_inner,left_eye,left_eye_outer,right_eye_inner,right_eye,right_eye_outer,left_shoulder,right_shoulder,left_hip,right_hip,left_elbow,left_wrist,right_elbow,right_wrist,left_knee,left_ankle,right_knee,right_ankle
32,,126.3707135976744,176.3278918943185,151.9566661059769,,,,35.7339693538224,,98.63384323223895,99.95996774823446,148.9615169360246,164.6855153273112,,,137.08564001130213,154.36154452649507,,
33,42.610100324041454,126.14948992411256,174.5236504877656,152.6329735890553,,,,32.63778554344404,,98.7613884941685,106.94914735910612,153.9176299419393,170.63962497718688,,174.14766918245274,151.8444170508812,152.53319705644913,137.57530851076814,150.68588688945763
34,41.183260528090216,127.45292627098455,174.2480714460036,150.07479764221617,109.20297726054608,178.40051883166183,104.29785092185247,80.59284597491012,86.48925253762674,99.56847518471014,93.06759143557323,155.97003419600455,171.6298686372909,164.74518657043993,174.01218237546948,152.69328096668525,155.80440450356147,129.27357748521325,150.00836367950293
35,43.89125196502685,129.6701657474461,175.11424556562977,149.0116974181062,106.67296208524141,177.71152949608825,102.13023289314458,80.13755056187267,87.42192818412,97.96149940633246,94.10872781319456,157.28544698093236,172.7236425192427,164.01497308732542,170.52048518689847,155.54922391137697,157.29589503730134,120.22944616553256,150.2897092074287
36,42.9192102657771,132.1906557371103,179.63164738369127,146.88215720614056,108.56961669234167,178.5138305377943,104.19419329338562,78.44312000460553,89.11654845535861,96.20653576775386,95.86715393064159,155.89892994426802,170.61677602855303,165.60667600456384,170.45858587629428,158.64561668472592,157.2813262971963,108.48869240287235,161.56145968705567
37,46.714244622494945,134.4407572806461,177.0773508183679,150.41005445726685,110.55065376404379,178.0911367718111,101.5512760817938,77.77393388975243,89.3974201638102,96.86776071529229,95.7553209831238,154.16919787251175,169.74530063355465,162.87573905173727,176.25363313093848,163.71471788379853,157.5336704838389,106.72056848473775,167.68426184685134
38,46.77952678499092,129.98385511892747,171.79972206523155,149.32234065220806,116.45080063005342,179.08016412315175,105.72614519356517,77.01613475914465,89.44020246745457,100.2428019513567,93.14574376519853,154.25929378484173,168.8469092838483,163.00502223254668,175.8034104430578,168.1893518030043,151.9031867871304,119.36030702387087,153.93183092570214
39,51.70637628337632,131.7717942110445,173.73734262717605,145.96452615289854,116.40360539552988,179.46830934338186,99.17714350881579,76.82422045036496,89.41701027425893,100.35506872276319,93.25520358577664,154.76369423196118,168.00111803802466,164.67359325899264,177.26306232114948,168.18149639714167,155.6704092021002,,
40,52.634224234494575,131.54100039904628,177.18688133058137,144.5322669470745,116.68894083227235,178.79845862911,96.09454632553349,76.81418203417766,88.59507579834086,101.3799691382291,93.2007566891696,154.55718230577585,171.40427125201376,164.25087796449807,177.1074419158273,170.35952566933386,160.1828173154399,156.64774612998653,156.3103254424855
41,50.602067204311815,130.26985843299528,178.3623898400408,143.96529046490372,116.9936467055632,178.90321395142493,100.46222535528204,77.40550333211003,87.88443391638738,100.87710826685934,93.83219030699836,157.07011099716956,173.1131851366607,164.2673396698679,177.9471693929634,172.0468475108333,157.8304406587284,150.71121336131128,155.94073881327253
42,52.503329194585596,131.73363428486113,177.45045810710732,146.8833971060752,116.71840631604779,175.73191240808288,94.89897820396821,77.94956592881648,87.62958559670189,100.11376687378947,94.30654547220546,158.83644869797996,175.20111529197828,166.34562984416456,175.57162319394183,174.33125393048664,156.45262672444179,159.94152006525033,153.69367601931955
43,49.79402603582384,134.68270202386827,177.14160751585158,141.22973155729446,117.02659966549525,,,78.83593004658192,86.4915220204999,99.99002187654058,94.68223481763226,158.74072733338406,176.99562160638288,166.20972383988726,174.10270892383957,172.8296849575203,154.61829373883478,168.15657405355685,152.4481459325628
44,49.13882063910612,134.26625145151795,175.98846385923116,146.29653260691242,119.15523307780593,178.19528834998343,,24.033047207955516,,97.08934911197369,92.63138026326108,159.24170181249065,175.66130196220902,,173.70316779373664,171.87338179587425,155.33073010363597,168.56751403043762,139.31079928192892
45,,131.63921206640165,174.89052891421588,150.7869509483169,,,,21.644924009575583,,96.20570141329236,94.12968701086034,157.650405956696,175.0139623536336,,172.493238658819,160.41489855967257,163.72317895957184,,
46,46.91710829360456,132.9963104163858,176.9530556539759,155.8054001151671,114.06799167693805,178.9539256078053,,21.722995461559606,,95.08938456866474,,157.21901543681744,174.56372349255415,,173.8975337185612,145.83860408989761,155.76188584170654,,
47,44.99130525900934,134.33966311150672,177.11015783729073,154.66221259267223,113.56507472459913,179.26491294119765,111.02552865535446,82.72144394862765,80.1278084138913,97.0483718930141,99.66265279325057,157.11950976405052,172.84142318136298,161.2962430906393,174.6852592289724,134.75719380331932,154.21973430798326,,
48,42.769580287768264,134.40228935782363,178.56494654014327,155.2603446601388,112.37229065652282,179.09490004813898,107.33053153425239,82.79457022450238,81.11757737978364,101.93850068591134,93.95887707844209,157.94477608857463,171.94922604772026,164.0937918519774,174.63242003695566,,,,
49,44.43842247064898,134.7015339559242,176.9148667287599,156.0772370062376,114.18343035117825,174.53408659745324,115.08760311157293,82.30966226147606,81.25082494523048,102.95060096745189,93.45521555156341,160.52828073536665,171.7208876940603,165.54010306748248,174.42086931623157,132.24870940168947,147.13254400127778,168.36389754051643,158.3313185513488
50,49.147140944375536,132.98632169406923,176.89615419856062,154.22189925991458,115.76090159793665,173.8072160845276,107.43432869513532,82.36438857773283,81.03171438529155,103.03917979808983,93.54741474553491,162.8863034475911,168.8852321024517,168.39977253818316,175.2969187454428,135.42489974294622,121.3303736661846,170.14047381220317,154.2789054816998
51,45.14112874950443,128.6258100513309,175.90542313580454,153.19059252721792,122.61453641789983,179.2046602363313,106.72271440077809,82.73030967591117,81.76860031317442,101.88886804369619,93.50748937929718,165.088845891751,167.8820296189655,167.69285984291633,176.44513461796174,144.69585232950303,,170.15366709422494,154.75993041310187
52,43.69459252128431,127.23157178512862,176.35415249267717,149.2622405853005,123.8997317358767,179.06520870666606,117.52807305540809,83.8366478868978,82.45299893065865,99.27336455458553,94.37436083552606,163.80444704298847,165.74627231636168,168.7120766900787,177.68077589328402,158.67783217719676,152.3837142253442,169.17447924615473,156.53419354060114
53,47.71090675216214,127.34392995774515,175.51095266101117,152.38743199493254,122.74236010966975,178.98327393863133,106.61668567266038,82.44228684582612,83.77592414818442,99.15009397511271,94.63146556645579,162.0694086240063,165.3805982469982,168.0227867047603,175.21305334502406,164.3821225027624,157.34588981843626,170.2661965913072,153.9923451317935
54,48.18708297094041,128.63008133226103,173.82992486307631,152.96860255244093,124.59656644260242,176.01686455507308,112.48054908556739,81.93954356238169,84.73536855362191,100.05668163141313,93.20079068618091,162.37354997095397,170.09675278455666,170.04701174906478,173.45275656264323,166.35656471597434,158.11930699949386,169.42573248665633,151.4451558216196
55,47.38516335535251,129.1604171862007,176.5058713881132,155.48682971258228,123.98406660401558,177.59297754141213,109.92279046664859,82.10067307611718,84.56915243985219,100.38718668479945,92.78029124349709,161.1158926422948,171.93687974433618,169.6419901359476,175.42195186315928,169.5089415644763,160.68071431073588,173.41056492065806,147.9697379195433
56,47.500645472188666,128.4496267171718,175.43024821023926,157.07300877155578,124.31783262507712,178.10108365438845,113.39343290001342,83.6542712711581,82.87821222901155,99.41507149712395,93.94674754689255,161.84633661113457,171.29121967604112,167.40095281927512,176.56898173285458,171.81867927729243,158.4708777621339,176.16088139815812,148.55709780786918
