# Metadata
# tracker,mediapipe_tracker
# num_cameras,2
# num_landmarks,33

frame,nose_x,nose_y,nose_z,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_x,left_eye_y,left_eye_z,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_x,right_eye_y,right_eye_z,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,left_ear_x,left_ear_y,left_ear_z,right_ear_x,right_ear_y,right_ear_z,mouth_left_x,mouth_left_y,mouth_left_z,mouth_right_x,mouth_right_y,mouth_right_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_pinky_x,left_pinky_y,left_pinky_z,right_pinky_x,right_pinky_y,right_pinky_z,left_index_x,left_index_y,left_index_z,right_index_x,right_index_y,right_index_z,left_thumb_x,left_thumb_y,left_thumb_z,right_thumb_x,right_thumb_y,right_thumb_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z,left_heel_x,left_heel_y,left_heel_z,right_heel_x,right_heel_y,right_heel_z,left_foot_index_x,left_foot_index_y,left_foot_index_z,right_foot_index_x,right_foot_index_y,right_foot_index_z
10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14,-1095.3991145947641,-432.47450544280196,2245.389545227239,-1051.43089409438,-486.80457253829934,2224.1172784706755,-1031.5612251154575,-492.96435532453813,2213.1135442017467,-1013.2988374591285,-498.73904162215473,2203.0351360837644,-1084.7158700855614,-480.3594882563237,2253.6083483917528,-1087.0110865875238,-482.3778185388947,2261.044508918929,-1088.598043119872,-485.5474503751198,2269.5092998422533,-955.0539700876022,-499.77284300072597,2187.226569483669,-1036.9784307326522,-498.2302759797143,2283.0322877682042,-1026.454207619199,-416.075243821826,2229.253031050586,-1067.7561481984353,-407.7033186480094,2267.041145044826,-792.1310053768889,-286.6203585718727,2107.7572914194684,-1039.8149657732279,-294.8171130129918,2385.4316600142724,-720.5214328162507,47.63823346250707,2070.2180539507954,-999.9192511390075,30.81764114349497,2458.5969097960133,-808.9686029071703,340.01240463225554,2096.75253988009,-1008.3141067287247,254.80018923478175,2479.5705264251483,-806.4251455223643,422.7828246489953,2089.919946254417,-1011.1904864650927,333.2631524808609,2503.641298306088,-850.4979745354485,417.18428359530066,2104.846136086,-1024.4900552274728,319.57149591655974,2475.3167754396122,-855.1007342304858,390.40604305600533,2114.580238203053,-1016.2461564399242,294.40326616251025,2465.8707574673613,-872.4335581797475,284.88389972157375,2244.9053722693793,-1036.06573706917,269.48933961264964,2396.0852782354973,-918.144436607552,696.905232570398,2309.160156515554,-1023.8541180057668,682.4286235125323,2424.5635741697097,-942.2895453662655,1048.7607598408808,2386.82285967225,-999.0297262408334,1048.9070565692934,2491.5429835973396,-933.4547682831575,1104.9993815520545,2408.965554055487,-984.6715889084478,1108.2803147836632,2506.1528577725135,-985.5829327259479,1168.5456029069999,2398.4876882443214,-1039.079447595689,1166.5224550589364,2484.687004457467
15,-1092.9903943425295,-439.33259513316193,2265.6851681715007,-1057.9279628844852,-491.1949624975742,2247.681494457398,-1040.2662546256354,-496.8596472359712,2237.8994480184383,-1022.9436182059724,-501.8340944353261,2228.0230920777412,-1086.0170286669415,-484.78692668109085,2270.9945779691225,-1089.456482113197,-486.6633017841996,2278.772910305433,-1091.8852127541552,-489.2896508439194,2286.395884382469,-963.9653005003341,-502.76764323640424,2211.820602060149,-1044.1284799602024,-499.8893289570227,2299.291580643807,-1034.1511411011215,-419.52534995125853,2251.347977458865,-1070.5096222886793,-412.3060053364172,2282.928278331953,-795.5951405452868,-289.65704379040176,2141.2190884550173,-1043.2310494042365,-297.36079581002787,2399.57664281368,-730.8203418314,50.47278682696512,2099.9561365886884,-1023.642906877839,35.745088357974396,2472.5622128996138,-811.2825082413622,338.2676937899478,2114.891122771961,-1028.5524038683004,270.0235528922739,2485.8921370460116,-807.479375942188,421.27155601965626,2106.0367521237226,-1030.6507892878546,353.5780160425993,2509.2835639439736,-851.7652831295628,414.7798328476399,2123.1273243545643,-1039.1585259473109,338.5545721276308,2483.5578408394545,-857.6490431110526,388.4744592705231,2133.4808216539973,-1031.6827942592292,312.35605681025055,2475.0123555864147,-873.4326135238853,316.1080234929985,2258.4797243800017,-1038.1473789617614,291.86623149708976,2404.720046246806,-942.9707959477283,706.3266858571955,2315.172792219299,-1052.1190197870562,675.5370364843901,2428.3618878523384,-942.0504475741463,1033.8603013975705,2408.9311479791827,-1015.8765362257556,1026.659136544638,2504.026552410942,-928.4912798631448,1086.9584849703335,2434.9884696419417,-999.5827642788217,1084.297454353022,2522.4341022104995,-988.7124967145733,1145.0285016622636,2418.0253271001307,-1065.0395244999272,1136.3937576168637,2486.351778473785
16,-1071.3384999745947,-446.287665967665,2274.01241409657,-1044.1958789801479,-492.41644413747724,2258.292077944532,-1030.5547713452104,-497.04576346179573,2249.5260105820876,-1016.1581011818595,-501.63971417446953,2240.9665213064836,-1065.5143833974576,-488.46567962834166,2281.3927627208577,-1068.1761128708763,-490.15578704915134,2289.2531965770804,-1070.7264860143728,-492.56061309277464,2298.2755118653376,-954.392304256253,-504.5003299369058,2231.691366600344,-1022.3244581605453,-503.45045907550303,2316.087278392182,-1025.2484459950233,-422.5512908667032,2265.1396392024685,-1053.1932147055795,-417.31210167643746,2294.634801874608,-777.9975035913399,-291.7754163423796,2166.6095237024683,-1030.5401329779486,-297.933617292677,2414.669231517257,-721.8230036735262,47.58501698704554,2128.495371940389,-1030.2830077154024,21.15873961856509,2479.7002165231643,-788.7453360741251,334.47234351879456,2129.5002086742293,-1031.2322049668574,272.5873822834555,2494.509855310834,-786.4252383078516,418.16866863925753,2124.2028498147056,-1033.7730630885858,361.83488025120903,2513.935643517963,-829.668596127693,407.89074261492675,2139.9957757118805,-1039.1971643806644,352.5101746028499,2488.1436516405656,-834.1387108077016,380.45905762932466,2149.438247257065,-1032.2693485404197,323.3607326597598,2480.1246725168553,-875.8803994024884,328.56085116152957,2270.850657443862,-1041.3075939838843,304.94670903887703,2415.067524425716,-946.5984530325213,737.0138502038591,2311.1533939172673,-1096.5507219884012,669.3926536747462,2416.9081754665144,-935.4057027571458,1054.3264444460733,2407.7901123080846,-1045.2263794554667,1020.8764581559449,2486.076553088429,-923.7449018624321,1089.9033897249328,2442.038748296046,-1031.7698677061421,1068.9981746758278,2504.160054271352,-974.1713011880944,1201.1336078688082,2401.329797873907,-1071.1313841837043,1166.260427858293,2467.977137352376
17,-1060.2539302722996,-455.29960384508354,2290.8912295369514,-1036.0714324116477,-497.8461041496574,2277.22448998061,-1022.6112591954897,-501.6140809264932,2268.682184120712,-1008.3305223838573,-505.73792138978365,2260.322325519719,-1059.7531826417346,-494.6086059816226,2299.3135960844984,-1063.8436833954308,-495.6298284788433,2307.1836381386365,-1067.641999317484,-497.17825442320054,2315.9761016364987,-945.4936207859902,-508.88327565558006,2252.8696595412275,-1020.6369572656711,-507.2071474330818,2336.2652541187435,-1017.9193349046121,-427.2040882054948,2282.949198598439,-1047.6319097967187,-423.02632563361664,2311.4950588711326,-768.514338937315,-294.7714863247185,2191.700952454426,-1031.0356032581963,-302.59207177041156,2432.3869224891387,-722.8807637357613,43.233228234350314,2168.866011099325,-1045.8040382955708,7.419703090671944,2489.0178027944426,-772.8360485697426,326.8530347373864,2150.7875152490924,-1037.70912578368,267.64165115772937,2500.032624149891,-767.7366517138169,408.0650161403186,2141.907199426302,-1039.5900818408263,355.964701677178,2516.607765461561,-808.286658709604,396.4754846951789,2155.179627459418,-1040.414127237535,347.18157956472714,2491.8634418805677,-815.9941347248746,370.48280798450537,2166.278602152889,-1032.7989713945321,318.7979308016266,2483.7636551588716,-875.0066280463911,328.21812035310546,2285.464403250324,-1045.3302157681185,309.68475698930536,2427.0025068275786,-944.0918110996852,728.2504178500751,2315.9687931673243,-1101.7124192139956,651.5061422263385,2424.5276578452426,-937.3326634574037,1038.4990535289917,2409.6469600898718,-1061.3358777181506,990.1956445190167,2492.276471432113,-924.488159157216,1078.014679798924,2442.1681396974645,-1042.7956447374431,1046.161653046291,2509.6991848376874,-976.6048754087545,1187.4797796437213,2404.7447961175367,-1110.760021585017,1113.0164355636598,2464.5987919800746
18,-1048.016048500529,-464.0017412546863,2305.086854391295,-1024.9090438926692,-505.274248730854,2293.168328879578,-1011.7690048915825,-507.9695935592206,2285.3516678720807,-997.8450972016595,-511.46210725097046,2278.094502925833,-1050.3883385194554,-503.6221698420066,2315.588923043273,-1055.097522866681,-504.1744277493739,2322.4205571494504,-1060.381186180049,-505.1439019634032,2331.0039770910475,-934.9712374832177,-514.7725721704115,2273.9094871121874,-1016.0196685384354,-512.8166443620414,2353.7702777480354,-1009.0769831014361,-431.55444129977724,2298.059742433031,-1040.5301081204673,-429.62912573830545,2326.9506235593294,-749.3717308857781,-298.0225160168573,2212.5524582559697,-1023.113757256225,-307.17313614351326,2450.07178222431,-701.512358433169,38.08683881669205,2188.7133998177005,-1053.7681186065881,-17.964481044374278,2500.2233292414144,-726.8261103048661,314.53560814114087,2154.232637097284,-1057.8271101031032,233.90267940429013,2502.119829468393,-724.4954613993119,391.8947538777228,2144.6370567906733,-1067.8627911907279,319.59673611427263,2511.705357095856,-758.2486497864019,381.5558936206693,2151.815351405968,-1057.704048687906,314.72853341269905,2486.2335164123683,-768.8883944887759,356.9323507995592,2165.8205121917263,-1045.216942774387,290.3363820763945,2479.196474589063,-840.5402123039902,326.774061726437,2293.752707758525,-1016.7531022868709,311.888852027516,2438.0720216695145,-913.9297257867224,692.1162504911115,2264.37733276555,-1062.112560795646,668.8154172943521,2449.0556817996135,-917.2845955397279,863.3361797777804,2461.4291682091975,-976.2049046420226,888.993137705583,2580.749113025422,-901.4083360854348,871.7931325453579,2505.737875714134,-941.5458348522878,970.2045985262798,2599.317531049851,-881.5921623217866,1057.872122643077,2477.094236395779,-967.4643575015484,1093.3510393882495,2586.2611159838457
19,-1033.4100698327265,-472.9140995106197,2320.120804280755,-1011.1321221168005,-514.547769505519,2307.2942155390947,-995.5225155175332,-517.625451453988,2299.5324296049566,-979.6049966291145,-521.1953511309389,2292.864560139221,-1042.593920853251,-510.3576955451198,2330.2024533223785,-1049.2348082289632,-509.90869724760006,2337.273531016936,-1055.7488203075256,-509.6904584549397,2344.5331783774805,-917.4341237686963,-523.549883458805,2289.2914848136616,-1016.2025851322131,-515.532912991326,2366.6090311204216,-991.2762264126644,-439.8915780462975,2313.9505308599723,-1026.2143706266581,-436.4414346564649,2344.1044597801592,-734.2785832405924,-304.4666322802068,2227.3406304175164,-1015.2752877687243,-309.00489915709124,2466.0259826933534,-656.5081408903955,18.89249908314751,2201.865728748754,-1056.284392111292,-10.865567410841349,2508.0249570614733,-670.920621156651,284.0679383143064,2163.6613830503807,-1065.4804270121356,233.16173217234743,2504.9703165768397,-676.9763678547738,368.6125751810897,2151.9887113896893,-1077.2190040251423,327.3587186906011,2509.9687259933853,-704.0103123101959,357.7934828075789,2154.2418401898785,-1072.9843608310862,314.2318522075028,2483.5853981077507,-713.1780463885765,332.12882728920596,2168.753327193945,-1053.3054138303548,288.50559638276656,2478.602169532676,-798.7896629848117,323.72541828421964,2292.5251053396823,-978.3839756540207,313.82952142527125,2449.049235495352,-918.9387695529376,660.7512898354238,2236.3800464497967,-948.5583730799851,694.5809354947788,2487.389531219877,-877.564396688415,907.8045040753034,2394.2615160108603,-904.0175193113437,963.2301720519228,2568.9950411836203,-866.3745253948315,942.0509321158887,2429.255543191807,-869.2676211001905,1031.1351895138575,2588.220409333039,-884.3579912349263,1053.5245023541956,2405.9324854902825,-950.4889554087927,1137.841037650386,2540.7600368070384
